d w z t
36 2 0 0
34 2 0 0
39 3 0 0
42 2 0 0
58 2 0 0
51 2 0 0
37 1 0 0
11 2 0 0
20 2 0 0
17 1 0 0
50 2 0 0
46 2 0 0
59 3 0 0
0 2 0 0
12 3 0 0
52 2 0 0
22 2 0 0
38 2 0 0
15 2 0 0
30 3 0 0
44 1 0 0
24 2 0 0
60 2 0 0
57 2 0 0
3 3 0 0
8 1 0 0
18 2 0 0
2 3 0 0
5 2 0 0
23 3 0 0
41 2 0 0
14 3 0 0
14 2 0 0
53 2 0 0
32 2 0 0
49 2 0 0
6 1 0 0
1 2 0 0
45 2 0 0
48 3 0 0
26 1 0 0
29 2 0 0
16 3 0 0
10 2 0 0
43 2 0 0
13 2 0 0
25 2 0 0
47 1 0 0
56 2 0 0
56 1 0 0
40 2 0 0
33 2 0 0
19 2 0 0
9 2 0 0
21 2 0 0
55 3 0 0
7 2 0 0
27 2 0 0
4 1 0 0
31 2 0 0
28 2 0 0
54 2 0 0
35 2 0 0
