time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0002 00063 -110.55857 0.10000 1.00000 0 0 0
    0.00 00001 0002 00061 -107.63017 0.10000 1.00000 0 0 0
    0.00 00002 0002 00062 -109.21874 0.10000 1.00000 0 0 0
    0.00 00003 0002 00061 -106.97249 0.10000 1.00000 0 0 0
    0.00 00004 0002 00062 -103.98605 0.10000 1.00000 0 0 0
    0.00 00005 0002 00062 -106.92536 0.10000 1.00000 0 0 0
    0.00 00006 0002 00062 -107.78795 0.10000 1.00000 0 0 0
    0.00 00007 0002 00062 -103.32756 0.10000 1.00000 0 0 0
    0.00 00008 0002 00062 -100.20217 0.10000 1.00000 0 0 0
    0.00 00009 0002 00061 -106.39721 0.10000 1.00000 0 0 0
    0.00 00010 0002 00062 -104.96286 0.10000 1.00000 0 0 0
    0.00 00011 0002 00063 -101.15684 0.10000 1.00000 0 0 0
    0.00 00012 0002 00062 -99.27834 0.10000 1.00000 0 0 0
    0.00 00013 0002 00062 -100.60593 0.10000 1.00000 0 0 0
    0.00 00014 0002 00063 -100.36933 0.10000 1.00000 0 0 0
    0.00 00015 0002 00062 -97.43906 0.10000 1.00000 0 0 0
    0.00 00016 0002 00062 -81.04121 0.10000 1.00000 0 0 0
    0.00 00017 0002 00061 -86.45892 0.10000 1.00000 0 0 0
    0.00 00018 0002 00063 -84.57107 0.10000 1.00000 0 0 0
    0.00 00019 0002 00061 -85.07300 0.10000 1.00000 0 0 0
    0.00 00020 0002 00062 -74.08648 0.10000 1.00000 0 0 0
    0.00 00021 0002 00061 -71.08973 0.10000 1.00000 0 0 0
    0.00 00022 0002 00062 -71.14180 0.10000 1.00000 0 0 0
    0.00 00023 0002 00063 -66.90135 0.10000 1.00000 0 0 0
    0.00 00024 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00025 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00026 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00027 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00028 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00029 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00030 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00031 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00032 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00033 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00034 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00035 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00036 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00037 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00038 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00039 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00040 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00041 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00042 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00043 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00044 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00045 0002 00062 -69.54274 0.10000 1.00000 0 0 0
    0.00 00046 0002 00063 -72.12248 0.10000 1.00000 0 0 0
    0.00 00047 0002 00062 -71.14180 0.10000 1.00000 0 0 0
    0.00 00048 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00049 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00050 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00051 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00052 0002 00061 -67.07662 0.10000 1.00000 0 0 0
    0.00 00053 0002 00062 -67.09478 0.10000 1.00000 0 0 0
    0.00 00054 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00055 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00056 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00057 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00058 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00059 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00060 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00061 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00062 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00063 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00064 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00065 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00066 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00067 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00068 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00069 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00070 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00071 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00072 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00073 0002 00063 -67.11266 0.10000 1.00000 0 0 0
    0.00 00074 0002 00063 -68.51079 0.10000 1.00000 0 0 0
    0.00 00075 0002 00063 -78.20216 0.10000 1.00000 0 0 0
    0.00 00076 0002 00062 -82.28118 0.10000 1.00000 0 0 0
    0.00 00077 0002 00063 -82.13034 0.10000 1.00000 0 0 0
    0.00 00078 0002 00063 -72.89736 0.10000 1.00000 0 0 0
    0.00 00079 0002 00063 -72.41035 0.10000 1.00000 0 0 0
    0.00 00080 0002 00063 -69.57714 0.10000 1.00000 0 0 0
    0.00 00081 0002 00063 -71.19301 0.10000 1.00000 0 0 0
    0.00 00082 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00083 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00084 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00085 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00086 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00087 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00088 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00089 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00090 0002 00061 -67.07662 0.10000 1.00000 0 0 0
    0.00 00091 0002 00062 -72.86296 0.10000 1.00000 0 0 0
    0.00 00092 0002 00063 -72.89736 0.10000 1.00000 0 0 0
    0.00 00093 0003 00062 -80.20355 0.10000 1.00000 0 0 0
    0.00 00094 0002 00063 -76.34273 0.10000 1.00000 0 0 0
    0.00 00095 0002 00061 -78.30078 0.10000 1.00000 0 0 0
    0.00 00096 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00097 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00098 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00099 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00100 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00101 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00102 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00103 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00104 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00105 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00106 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00107 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00108 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00109 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00110 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00111 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00112 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00113 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00114 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00115 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00116 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00117 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00118 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00119 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00120 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00121 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00122 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00123 0001 00063 -61.10415 0.10000 1.00000 0 0 0
